450,0,33,51,178,189,128,77,62,101,70
490,132,109,103,88,115,124,108,81,123,111
530,95,74,92,72,117,88,88,95,72,97
570,72,100,108,130,74,81,91,85,105,96
610,50,84,114,107,91,73,91,101,97,93
650,77,100,71,89,100,88,117,100,79,85
690,94,91,30,109,96,95,72,77,75,83
730,72,94,79,62,86,68,90,84,91,71
770,66,73,86,70,66,78,62,77,67,79
810,70,78,80,83,63,79,72,71,85,75
850,89,69,74,77,79,73,59,78,75,81
890,65,79,62,79,66,68,78,68,74,65
930,84,70,78,69,70,70,75,73,68,71
970,68,71,70,77,69,78,63,78,78,68
1010,75,73,78,66,75,66,78,69,72,69
1050,68,71,67,72,71,79,65,77,61,70
1090,73,69,77,68,84,75,91,79,85,78
1130,75,73,82,82,65,96,74,90,95,96
1170,91,101,89,135,103,150,204,114,240,137
1210,256,305,287,590,264,567,286,828,566,998
1250,625,840,580,945,934,897,735,744,722,951
1290,751,1418,1619,3168,5614,514,78,445,339,592
1330,691,1007,1162,1303,1258,1081,1260,1340,914,1024
1370,772,735,477,397,299,209,191,150,115,96
1410,109,73,132,83,115,88,95,112,89,91
1450,107,105,101,104,93,84,106,97,73,80
1490,101,85,95,82,117,111,103,97,107,94
1530,90,101,128,175,148,125,100,131,96,83
1570,79,86,85,70,74,69,70,69,79,66
1610,80,78,84,80,75,78,78,90,74,89
1650,86,101,86,74,83,74,93,74,98,94
1690,85,74,96,94,83,83,85,107,73,77
1730,77,98,80,79,85,86,86,75,80,71
1770,85,84,71,77,72,80,77,81,71,77
1810,68,79,63,75,77,79,78,67,78,70
1850,77,61,69,66,75,72,65,68,61,68
1890,61,73,61,68,69,70,68,66,73,62
1930,70,61,69,65,70,66,63,67,62,69
1970,59,71,62,67,59,73,66,66,63,65
2010,68,57,71,58,62,58,68,60,67,67
2050,60,65,59,67,54,69,62,66,56,59
2090,60,57,70,60,63,54,66,59,62,60
2130,62,61,58,68,60,68,58,65,60,65
2170,68,66,60,54,66,50,62,61,69,55
2210,62,60,58,66,57,66,54,70,65,66
2250,63,69,65,59,69,61,77,66,84,72
2290,86,95,102,94,98,124,98,119,105,133
2330,89,111,96,108,113,111,118,93,131,91
2370,104,67,96,75,78,68,61,62,47,73
2410,53,60,47,57,54,63,65,56,71,49
2450,75,54,68,61,66,48,58,71,54,71
2490,55,79,55,68,57,65,68,63,62,57
2530,73,54,69,50,77,61,61,73,65,62
2570,54,78,48,69,54,77,57,73,79,56
2610,56,61,93,46,77,65,79,63,79,74
2650,69,72,68,65,50,103,53,75,83,85
2690,51,73,114,54,78,57,119,65,58,116
2730,98,47,75,137,73,97,73,125,81,84
2770,129,128,113,106,144,124,159,102,153,115
2810,151,143,135,248,197,208,198,162,166,228
2850,120,380,194,210,547,137,509,446,237,882
2890,266,423,1059,147,1011,524,222,1690,222,885
2930,1091,173,1636,299,481,1553,260,1268,651,260
2970,1235,131,811,553,219,987,217,490,626,1465
3010,2822,7080,10000,965,158,531,188,373,289,266
3050,696,170,1116,255,639,763,405,1251,198,1554
3090,421,874,856,558,1323,431,1549,425,943,746
3130,655,871,419,1240,306,910,530,655,391,453
3170,591,90,572,221,380,154,415,206,177,330
3210,168,255,130,350,91,259,186,229,165,197
3250,277,142,259,171,293,116,287,198,208,214
3290,223,264,149,289,170,269,170,293,200,226
3330,254,228,249,182,312,175,277,212,286,213
3370,255,274,224,263,224,300,200,298,239,286
3410,241,275,278,232,290,230,295,214,324,241
3450,271,274,281,288,248,315,265,317,240,332
3490,241,302,282,286,281,268,335,249,334,271
3530,333,275,322,314,284,321,288,338,255,335
3570,286,334,284,328,314,289,344,299,349,289
3610,361,282,329,313,353,306,327,375,310,352
3650,288,369,292,357,339,328,334,324,392,311
3690,375,325,387,296,356,339,339,364,362,368
3730,316,387,337,385,326,398,345,357,392,360
3770,384,344,427,354,405,356,397,360,386,410
3810,370,397,370,430,362,423,376,414,379,427
3850,395,359,442,385,452,358,444,380,408,416
3890,445,420,398,453,370,457,398,457,387,439
3930,446,407,418,411,446,382,464,410,438,375
